team,matches,goals,wins,draws,losses,halftime_goals,halftime_wins,halftime_draws,halftime_losses,shots,shots_on_target,fouls_commited,corners,yellow_cards,red_cards
Arsenal,114,172,54,24,36,87,42,40,32,1457,500,1129,648,193,14
Aston Villa,114,148,38,21,55,66,37,43,34,1424,499,1291,611,208,6
Bournemouth,38,40,9,7,22,20,7,13,18,389,121,369,194,73,3
Brentford,38,48,13,7,18,16,7,15,16,442,154,371,159,61,3
Brighton,114,121,30,43,41,50,31,44,39,1438,437,1205,599,172,10
Burnley,114,110,32,32,50,51,23,45,46,1179,389,1190,527,183,2
Chelsea,114,203,60,27,27,93,49,45,20,1775,643,1228,716,171,4
Crystal Palace,114,122,34,33,47,53,31,42,41,1137,398,1249,504,182,5
Everton,114,134,41,24,49,70,31,53,30,1308,448,1226,531,204,11
Fulham,38,27,5,13,20,12,6,18,14,442,136,484,164,66,3
Leeds,76,104,27,16,33,41,18,29,29,1007,353,896,402,161,4
Leicester,114,197,52,24,38,78,30,53,31,1456,544,1190,621,155,4
Liverpool,114,247,80,20,14,116,59,42,13,1928,701,1090,803,128,2
Man City,114,284,82,14,18,136,65,32,17,2064,736,1042,862,148,7
Man United,114,196,55,33,26,85,42,42,30,1572,615,1280,600,211,3
Newcastle,114,128,36,30,48,59,23,56,35,1240,421,1149,472,205,7
Norwich,76,49,10,13,53,25,13,26,37,782,240,719,327,122,5
Sheffield United,76,59,21,14,41,26,15,32,29,679,214,869,383,134,5
Southampton,114,141,36,27,51,74,38,37,39,1405,517,1278,622,168,9
Tottenham,114,198,56,24,34,102,51,36,27,1380,534,1248,563,202,6
Watford,76,70,14,15,47,32,13,28,35,820,247,924,329,132,6
West Brom,38,35,5,11,22,18,6,14,18,340,112,404,145,51,4
West Ham,114,171,45,25,44,83,37,50,27,1318,486,1085,549,157,7
Wolves,114,125,42,29,43,49,22,53,39,1323,435,1196,570,169,4
